time,epoch,batch,loss,cost
0min1sec,0,0,10.306,740.363
16min6sec,0,1000,7.585,439.730
15min0sec,0,2000,3.901,362.864
14min41sec,0,3000,2.319,330.111
20min30sec,1,0,-136.650,233.754
15min13sec,1,1000,-150.590,259.981
14min31sec,1,2000,-140.306,254.796
14min0sec,1,3000,-126.893,248.606
20min56sec,2,0,-97.860,222.567
14min5sec,2,1000,-94.292,234.559
13min55sec,2,2000,-83.293,228.842
14min18sec,2,3000,-81.508,226.892
20min12sec,3,0,-69.811,204.635
13min25sec,3,1000,-71.952,218.460
13min56sec,3,2000,-86.470,225.673
13min26sec,3,3000,-82.925,224.430
19min45sec,4,0,-44.279,197.598
14min8sec,4,1000,-89.225,229.467
13min31sec,4,2000,-79.606,224.110
13min0sec,4,3000,-74.203,220.636
20min4sec,5,0,-69.614,204.586
13min39sec,5,1000,-73.713,218.663
14min48sec,5,2000,-90.021,227.510
13min22sec,5,3000,-73.432,219.713
19min42sec,6,0,-31.497,189.294
12min58sec,6,1000,-45.611,206.532
13min3sec,6,2000,-51.463,209.320
12min58sec,6,3000,-48.918,207.616
20min1sec,7,0,-44.336,194.691
12min50sec,7,1000,-42.787,206.426
13min35sec,7,2000,-53.137,210.603
13min51sec,7,3000,-54.535,211.399
19min59sec,8,0,-65.525,210.179
12min57sec,8,1000,-38.026,201.676
12min37sec,8,2000,-34.309,199.813
12min58sec,8,3000,-34.093,199.890
19min21sec,9,0,-66.901,203.073
12min59sec,9,1000,-41.185,201.093
12min24sec,9,2000,-30.228,196.254
12min37sec,9,3000,-28.081,194.796
18min45sec,10,0,-19.330,186.925
12min14sec,10,1000,-12.014,182.718
12min13sec,10,2000,-14.260,183.844
12min23sec,10,3000,-16.368,184.923
18min23sec,11,0,-36.127,180.648
12min16sec,11,1000,-33.106,188.573
12min33sec,11,2000,-33.933,187.951
12min10sec,11,3000,-31.506,185.958
18min51sec,12,0,-52.071,186.163
12min55sec,12,1000,-35.597,190.711
12min44sec,12,2000,-41.027,194.407
12min34sec,12,3000,-37.096,192.116
19min0sec,13,0,-42.186,183.813
12min36sec,13,1000,-30.187,187.484
12min21sec,13,2000,-31.769,188.337
12min19sec,13,3000,-30.121,187.716
19min13sec,14,0,-17.379,173.995
12min51sec,14,1000,-27.784,187.631
12min26sec,14,2000,-30.199,187.962
12min26sec,14,3000,-32.667,188.616
18min45sec,15,0,-29.865,180.383
12min15sec,15,1000,-41.595,192.835
12min34sec,15,2000,-39.930,191.959
13min8sec,15,3000,-42.011,194.466
18min57sec,16,0,-38.810,188.745
12min32sec,16,1000,-34.560,190.723
12min29sec,16,2000,-36.371,193.081
11min54sec,16,3000,-32.062,189.967
18min15sec,17,0,-39.699,183.004
12min10sec,17,1000,-27.817,185.972
11min53sec,17,2000,-25.837,184.410
12min41sec,17,3000,-23.839,183.667
18min43sec,18,0,-43.485,191.319
12min17sec,18,1000,-16.808,178.925
12min27sec,18,2000,-19.205,180.395
12min16sec,18,3000,-19.460,180.358
19min0sec,19,0,-25.392,175.923
12min35sec,19,1000,-18.275,180.421
12min26sec,19,2000,-21.281,183.262
12min31sec,19,3000,-22.208,183.689
18min36sec,20,0,-20.968,178.197
12min1sec,20,1000,-12.984,174.901
12min6sec,20,2000,-16.006,177.545
12min15sec,20,3000,-17.185,178.366
18min21sec,21,0,-26.116,177.129
12min1sec,21,1000,-16.633,177.365
11min45sec,21,2000,-14.994,176.687
11min58sec,21,3000,-14.432,176.238
18min24sec,22,0,-32.679,180.365
12min10sec,22,1000,-16.252,177.725
12min8sec,22,2000,-14.680,176.637
12min5sec,22,3000,-15.378,176.822
18min32sec,23,0,-37.510,187.463
11min48sec,23,1000,-11.723,174.738
11min51sec,23,2000,-13.809,175.169
11min58sec,23,3000,-14.941,175.508
17min28sec,24,0,-14.836,164.264
11min37sec,24,1000,-23.854,173.732
12min0sec,24,2000,-27.233,176.739
11min41sec,24,3000,-28.138,178.980
17min51sec,25,0,-28.920,173.868
12min13sec,25,1000,-33.938,185.016
12min29sec,25,2000,-33.559,184.995
12min30sec,25,3000,-38.760,187.268
18min5sec,26,0,-73.322,199.687
12min17sec,26,1000,-34.998,184.390
11min49sec,26,2000,-28.359,179.498
11min44sec,26,3000,-26.620,177.954
18min22sec,27,0,-35.545,178.269
12min18sec,27,1000,-29.419,181.921
11min37sec,27,2000,-24.937,178.625
11min53sec,27,3000,-23.954,177.995
18min4sec,28,0,-29.668,177.916
11min45sec,28,1000,-20.204,175.140
11min53sec,28,2000,-21.624,175.955
12min24sec,28,3000,-21.541,175.930
18min26sec,29,0,-27.003,177.261
11min53sec,29,1000,-19.904,175.166
11min45sec,29,2000,-20.727,175.283
11min47sec,29,3000,-20.722,175.124
