time,epoch,batch,loss,cost
0min1sec,0,0,-1.610,924.913
25min42sec,0,1000,-15.439,693.319
24min0sec,0,2000,-6.763,554.810
22min58sec,0,3000,-3.276,490.195
29min47sec,1,0,-48.225,292.440
22min9sec,1,1000,-251.539,362.798
21min17sec,1,2000,-293.354,374.874
20min37sec,1,3000,-269.436,365.843
30min17sec,2,0,-284.622,409.663
20min7sec,2,1000,-157.083,326.137
20min44sec,2,2000,-144.896,321.387
20min3sec,2,3000,-142.526,319.883
30min41sec,3,0,-91.187,309.403
19min2sec,3,1000,-87.950,294.988
20min7sec,3,2000,-98.793,299.856
19min33sec,3,3000,-98.417,300.113
29min31sec,4,0,-208.219,317.715
22min12sec,4,1000,-206.408,339.613
19min29sec,4,2000,-144.995,310.745
18min28sec,4,3000,-118.414,296.947
26min17sec,5,0,-81.270,250.761
19min16sec,5,1000,-101.129,268.714
18min33sec,5,2000,-87.291,262.785
19min8sec,5,3000,-82.680,259.260
29min47sec,6,0,-23.302,226.945
19min34sec,6,1000,-183.463,301.326
18min53sec,6,2000,-159.325,289.781
19min2sec,6,3000,-141.597,282.252
27min13sec,7,0,-95.927,264.041
19min2sec,7,1000,-81.003,258.490
18min57sec,7,2000,-74.093,252.784
18min20sec,7,3000,-68.118,249.261
26min55sec,8,0,-69.690,249.156
17min59sec,8,1000,-56.820,241.735
17min34sec,8,2000,-47.925,237.270
17min9sec,8,3000,-45.387,235.745
25min36sec,9,0,-22.247,219.296
16min48sec,9,1000,-26.593,224.083
17min2sec,9,2000,-23.138,221.521
17min24sec,9,3000,-26.247,223.516
24min31sec,10,0,-9.568,212.261
17min10sec,10,1000,-41.134,225.328
16min6sec,10,2000,-36.702,222.338
16min43sec,10,3000,-33.951,220.118
25min4sec,11,0,-12.067,212.039
16min22sec,11,1000,-18.117,208.814
16min56sec,11,2000,-17.512,208.052
17min11sec,11,3000,-20.133,209.893
25min10sec,12,0,-34.949,214.581
17min44sec,12,1000,-44.102,220.835
17min13sec,12,2000,-40.813,219.598
17min40sec,12,3000,-40.807,219.577
26min42sec,13,0,-58.630,234.134
17min1sec,13,1000,-51.999,227.047
17min24sec,13,2000,-57.888,231.324
16min48sec,13,3000,-53.322,227.741
27min29sec,14,0,-40.615,223.400
17min25sec,14,1000,-48.764,225.272
17min0sec,14,2000,-48.327,225.160
16min47sec,14,3000,-46.420,223.820
27min4sec,15,0,-74.716,240.103
17min59sec,15,1000,-52.895,226.163
16min43sec,15,2000,-47.438,224.218
16min37sec,15,3000,-47.564,224.964
25min57sec,16,0,-112.250,251.353
16min38sec,16,1000,-86.259,245.758
17min28sec,16,2000,-94.997,254.278
18min21sec,16,3000,-97.620,257.354
26min18sec,17,0,-165.949,298.905
17min36sec,17,1000,-115.756,266.597
18min42sec,17,2000,-129.458,274.088
18min37sec,17,3000,-129.408,271.711
26min27sec,18,0,-93.120,252.486
17min10sec,18,1000,-108.123,259.889
17min50sec,18,2000,-104.731,258.458
16min54sec,18,3000,-92.769,252.400
