time,epoch,batch,loss,cost
0min0sec,0,0,8.851,317.179
8min5sec,0,1000,1.577,129.460
10min15sec,1,0,5.908,91.580
7min16sec,1,1000,-14.495,95.975
10min4sec,2,0,-2.440,87.921
7min3sec,2,1000,-10.742,93.094
9min58sec,3,0,-2.393,88.323
7min2sec,3,1000,-8.804,91.630
9min43sec,4,0,-4.907,87.333
6min37sec,4,1000,-5.939,88.758
9min29sec,5,0,0.208,83.932
6min36sec,5,1000,-7.070,87.850
9min41sec,6,0,-7.075,88.615
6min54sec,6,1000,-5.595,87.599
9min40sec,7,0,-5.833,88.130
6min51sec,7,1000,-7.675,87.145
9min55sec,8,0,0.548,85.652
6min59sec,8,1000,-7.428,86.892
9min53sec,9,0,2.543,84.934
6min46sec,9,1000,-5.476,86.103
9min46sec,10,0,-0.419,84.391
6min30sec,10,1000,-3.928,84.395
9min19sec,11,0,-8.151,89.305
6min6sec,11,1000,-3.934,83.787
9min1sec,12,0,4.286,81.406
6min5sec,12,1000,-3.502,83.476
8min50sec,13,0,-0.812,82.089
6min8sec,13,1000,-4.156,82.982
9min5sec,14,0,11.147,79.924
6min20sec,14,1000,-4.988,83.215
9min12sec,15,0,7.750,80.519
6min21sec,15,1000,-3.795,82.600
9min8sec,16,0,4.217,81.655
6min12sec,16,1000,-4.487,83.182
8min58sec,17,0,8.145,79.061
6min10sec,17,1000,-3.439,82.140
9min6sec,18,0,-6.985,87.884
5min53sec,18,1000,-4.080,82.340
8min40sec,19,0,4.163,78.853
6min3sec,19,1000,-3.272,81.682
8min59sec,20,0,3.172,79.493
5min59sec,20,1000,-2.195,80.938
8min34sec,21,0,-1.188,78.771
5min54sec,21,1000,-3.860,79.486
8min39sec,22,0,-5.278,80.380
6min8sec,22,1000,-4.058,79.649
8min49sec,23,0,-4.437,80.442
5min56sec,23,1000,-4.065,79.383
8min32sec,24,0,-7.977,81.392
5min42sec,24,1000,-4.596,79.298
8min22sec,25,0,-1.877,77.922
5min36sec,25,1000,-4.301,78.757
8min18sec,26,0,0.279,77.583
5min43sec,26,1000,-4.909,79.338
8min14sec,27,0,-2.195,78.207
5min48sec,27,1000,-4.787,79.185
8min24sec,28,0,1.003,76.442
5min50sec,28,1000,-4.498,78.905
8min32sec,29,0,-0.425,75.681
5min48sec,29,1000,-5.345,79.418
