time,epoch,batch,loss,cost
0min2sec,0,0,13.648,327.211
13min19sec,0,1000,1.603,123.734
20min47sec,1,0,-4.202,90.710
11min52sec,1,1000,-11.188,92.740
20min24sec,2,0,-5.984,92.741
11min57sec,2,1000,-9.255,91.484
20min19sec,3,0,-9.565,91.916
11min31sec,3,1000,-6.253,89.381
19min47sec,4,0,-6.090,87.228
11min4sec,4,1000,-5.399,88.217
19min53sec,5,0,-5.002,85.921
11min22sec,5,1000,-6.050,88.461
19min56sec,6,0,-3.025,86.873
11min12sec,6,1000,-6.544,87.529
19min43sec,7,0,-5.738,83.882
11min18sec,7,1000,-7.031,85.503
19min40sec,8,0,-14.056,89.159
11min13sec,8,1000,-7.984,86.244
18min14sec,9,0,-7.345,85.416
10min43sec,9,1000,-4.787,83.955
18min24sec,10,0,-14.912,90.330
10min45sec,10,1000,-5.833,84.662
17min53sec,11,0,-13.657,88.923
10min35sec,11,1000,-5.454,83.466
18min8sec,12,0,-3.206,81.856
10min48sec,12,1000,-6.863,84.416
18min23sec,13,0,-4.268,83.100
10min44sec,13,1000,-4.985,83.429
17min57sec,14,0,-3.176,82.473
10min46sec,14,1000,-5.828,83.633
18min6sec,15,0,-7.994,85.976
10min35sec,15,1000,-4.233,82.602
18min3sec,16,0,-2.637,82.415
10min40sec,16,1000,-5.130,83.128
18min6sec,17,0,-8.972,86.217
10min36sec,17,1000,-5.468,83.455
18min37sec,18,0,-3.794,81.835
10min46sec,18,1000,-5.272,83.283
18min30sec,19,0,-5.546,83.491
10min45sec,19,1000,-3.686,81.858
18min15sec,20,0,-0.828,81.011
11min6sec,20,1000,-4.065,82.268
18min49sec,21,0,-4.180,82.334
10min40sec,21,1000,-3.970,82.189
18min19sec,22,0,-2.475,81.299
11min6sec,22,1000,-4.882,82.865
17min42sec,23,0,-2.436,80.171
10min31sec,23,1000,-3.395,81.656
17min53sec,24,0,-2.133,81.370
10min39sec,24,1000,-3.805,81.945
18min58sec,25,0,-3.524,82.343
11min4sec,25,1000,-4.158,82.310
18min46sec,26,0,-1.337,80.839
10min27sec,26,1000,-2.626,80.982
18min55sec,27,0,-9.836,86.333
10min42sec,27,1000,-2.775,81.116
18min30sec,28,0,-2.481,80.146
10min51sec,28,1000,-4.623,81.846
18min47sec,29,0,-3.515,80.885
10min40sec,29,1000,-3.611,81.103
