time,epoch,batch,loss,cost
0min0sec,0,0,0.015,766.049
14min19sec,1,0,-77.661,212.726
14min13sec,2,0,-84.195,215.954
13min57sec,3,0,-51.473,199.199
14min4sec,4,0,-67.049,202.912
14min20sec,5,0,-49.113,193.402
14min20sec,6,0,-54.517,193.560
14min10sec,7,0,-61.079,194.179
14min5sec,8,0,-63.889,191.936
13min54sec,9,0,-50.811,188.807
13min59sec,10,0,-28.470,182.254
14min13sec,11,0,-27.752,179.128
14min7sec,12,0,-38.128,181.299
14min12sec,13,0,-41.408,183.350
14min9sec,14,0,-68.410,191.889
14min12sec,15,0,-35.554,180.801
14min10sec,16,0,-20.310,172.261
14min6sec,17,0,-25.056,174.457
13min59sec,18,0,-38.799,183.066
13min57sec,19,0,-33.583,181.284
13min51sec,20,0,-27.976,176.094
14min8sec,21,0,-20.089,172.872
14min6sec,22,0,-15.866,172.029
13min55sec,23,0,-18.042,171.849
14min3sec,24,0,-23.469,173.830
14min8sec,25,0,-24.650,170.646
14min9sec,26,0,-30.368,173.004
13min58sec,27,0,-34.670,176.604
13min50sec,28,0,-19.609,167.267
13min53sec,29,0,-19.929,167.668
