time,epoch,batch,loss,cost
0min0sec,0,0,3.937,573.343
0min6sec,1,0,-425.594,563.824
0min5sec,2,0,-471.817,588.462
0min6sec,3,0,-392.984,553.204
0min5sec,4,0,-442.423,579.838
0min6sec,5,0,-403.362,564.547
0min5sec,6,0,-403.881,558.556
0min7sec,7,0,-393.298,553.431
0min5sec,8,0,-357.015,544.051
0min6sec,9,0,-344.363,537.990
0min6sec,10,0,-369.084,551.196
0min6sec,11,0,-343.233,532.565
0min5sec,12,0,-253.973,490.181
0min6sec,13,0,-295.470,504.404
0min5sec,14,0,-264.167,497.942
0min6sec,15,0,-291.481,508.663
0min6sec,16,0,-244.748,480.916
0min5sec,17,0,-356.952,533.131
0min6sec,18,0,-359.976,542.858
0min6sec,19,0,-350.340,537.487
