epochs,loss,cost,val_cost
0,0.151543339073658,123.72282240867615,94.0
1,-24.50914153242111,106.65984896850586,99.0
2,-21.004150482699274,104.97813749122619,98.0
3,-12.815687461264432,99.856998254776,97.0
4,-9.83419615290314,98.1835978126526,91.0
5,-6.049177657298744,95.67818433761596,94.0
6,-4.842422081910073,94.88971571159362,91.0
7,-1.9285772962123156,92.69193486785889,85.0
8,-8.26235677228123,88.91056718444824,88.0
9,-5.411982962924987,86.84328248977661,84.0
10,-4.51016363267973,86.09386835289001,84.0
11,-6.500508727971464,86.29114420700073,85.0
12,-4.4378589494600895,84.74334063529969,83.0
13,-2.8050456270743163,83.40090388107299,80.0
14,-6.645504068076611,83.74610496330261,82.0
15,-6.356802003204822,83.1394640712738,80.0
16,-6.545779535945505,83.36594572639466,85.0
17,-5.645191576573998,82.56756573677063,78.0
18,-6.103674663020298,81.43779113388061,78.0
19,-6.464511715374887,81.84784779548644,79.0
20,-4.410482496682555,80.87371398353577,79.0
21,-4.719241796445101,80.92179785728455,78.0
22,-4.9497982322108,81.57368191146851,79.0
23,-7.057173237439245,82.34994462394714,80.0
24,-5.559355449978262,81.00625077438355,80.0
25,-4.728884595191106,80.31906334877014,80.0
26,-4.759605627130717,80.28745903205872,79.0
27,-4.156385200627148,79.97073703384399,79.0
28,-4.158711510458961,79.79024499130249,77.0
29,-3.964223870746791,79.67838106155395,79.0
