epochs,loss,cost,val_cost
0,1.645704007744789,121.7653752746582,87.0
1,-17.418635716557503,97.50923778533935,91.0
2,-14.042448102653026,95.67977030944824,87.0
3,-11.505100276172161,94.42857946014405,87.0
4,-8.70904717028141,92.44410652160644,88.0
5,-6.637845896303654,91.24396623229981,84.0
6,-9.51491624969244,90.16240579223633,84.0
7,-9.363850571572781,88.92875994110108,85.0
8,-8.085172560274602,88.1489674911499,86.0
9,-7.454338723242283,87.65253437042236,86.0
10,-6.233011228442192,86.8983593597412,84.0
11,-6.147631372854113,86.80476947784423,84.0
12,-5.757567275956273,86.41953520202637,83.0
13,-6.093226292103529,86.25492962646484,83.0
14,-5.746493483155966,86.02711211395264,83.0
15,-5.390086936235428,85.71994389343261,81.0
16,-4.356683875575662,84.88306401062012,84.0
17,-4.650602844253182,85.20912139129639,82.0
18,-3.5506595229804514,84.36968367004394,82.0
19,-4.020361154437065,84.57234035491943,82.0
20,-3.397717584311962,84.12535958099365,82.0
21,-3.307138538464904,83.99564044952393,82.0
22,-3.0331612731590867,84.12285176849365,82.0
23,-4.465066698014736,83.64371502685547,82.0
24,-3.8086844100356103,82.9268521118164,80.0
25,-5.033653111562133,83.84722546386719,83.0
26,-3.8736331332027913,82.99383139038086,82.0
27,-3.3236407842636106,82.65637940979003,80.0
28,-4.814541881456972,82.82611109924316,82.0
29,-4.362878793105483,82.57984914398193,82.0
