epochs,loss,cost,val_cost
0,1.5458865607082843,273.2033083648682,187.0
1,-101.13990401101113,245.2538058052063,190.0
2,-90.033379547894,236.01716814804078,199.0
3,-61.42201264363527,222.45710277175903,187.0
4,-42.3961665520668,214.78396672058105,198.0
5,-43.706141711711886,215.81606758499146,180.0
6,-24.728113670624793,197.89692473220825,175.0
7,-12.153113598871975,188.14487889862062,173.0
8,-9.237056797012686,187.07141637420654,167.0
9,-40.112269084692,200.04618979263304,176.0
10,-30.836301348149778,192.31379759597777,169.0
11,-18.537285409539937,182.66954641342164,179.0
12,-17.964252930931746,183.49153890609742,180.0
13,-29.987854483395814,192.27214641571044,172.0
14,-33.36185585045815,194.32351725006103,187.0
15,-29.782576009094715,190.0233610458374,167.0
16,-17.045885930687188,181.7846914176941,164.0
17,-17.0384638325274,178.47969384002687,166.0
18,-23.70502414853871,183.83880978393555,165.0
19,-30.97636089029908,187.7934556236267,159.0
20,-14.333053768858314,173.28859349822997,162.0
21,-13.855458393655717,172.86798625183104,159.0
22,-19.528714570596815,172.1796147918701,158.0
23,-17.35800213524699,170.39695613861085,156.0
24,-16.48158990500495,169.54942840576172,157.0
25,-29.464577155679464,182.77326421356202,163.0
26,-21.562643010608852,175.6029097366333,162.0
27,-20.283836928904055,172.76653030395508,156.0
28,-14.219854376032949,168.4502525062561,156.0
29,-9.474921460788696,166.06553145599366,159.0
