time,epoch,batch,loss,cost
0min3sec,0,0,7.824,747.926
64min27sec,0,2000,4.186,323.132
66min56sec,1,0,-65.321,216.095
62min39sec,1,2000,-112.124,252.786
71min5sec,2,0,-96.260,227.039
57min44sec,2,2000,-96.224,239.962
68min3sec,3,0,-89.001,226.369
56min52sec,3,2000,-65.857,223.849
66min36sec,4,0,-58.074,211.724
53min28sec,4,2000,-43.697,213.933
66min7sec,5,0,-61.771,220.193
54min37sec,5,2000,-40.665,214.327
67min2sec,6,0,-78.457,221.516
52min52sec,6,2000,-30.210,201.059
62min50sec,7,0,-22.514,186.310
49min23sec,7,2000,-12.810,188.418
62min23sec,8,0,-16.285,181.344
50min50sec,8,2000,-9.382,186.754
64min15sec,9,0,-15.872,175.816
52min59sec,9,2000,-33.041,195.239
65min4sec,10,0,-40.531,193.513
52min11sec,10,2000,-29.682,192.430
63min51sec,11,0,-22.513,179.013
51min58sec,11,2000,-19.746,183.894
